comment,label,df,cleaned
අදත් පෙන්නුවා මහා ලොකු මිනී අරන්යන්නෙ ආමි ටක් වලින් බල්ලන් බලලු වගේ අපි දැක්කා නිව්ස් වල.. Ok මැඩම්,0,B,අදත් පෙන්න මහා ලොකු මිනී අරන්ය ආමි ටක් වලින් බල්ල බලලු වගේ අපි දැක් නිව්ස වල මැඩම්
අදනේ දැක්කේ ඔරිජිනල් විග් එක.. ,0,B,අදනේ දැක් ඔරිජිනල විග් එක
අදාල පාරිසරික තත්ත්ව හරි නම් හරියනවා. ,0,B,අදාල පාරිසරික තත්ත් හරි නම් හරිය
අනභිබවනීයයි මැතිනියනි. එක්ව දිනමු,0,B,අනභිබවනී මැතිනි එක්ව දිනමු
අනර්ඝයි,0,B,අනර්ඝ
අනාගත ජනපති ගමන සුබයි ජය නියතයි ,0,B,අනාගත ජනපති ගමන සුබයි ජය නියත
අනාගත පරපුර නිරෝගිමත් වෙිවි.,0,B,අනාගත පරපුර නිරෝගිම වෙිවි
අනාගත මැතිවරණ කොමසාරිස්තුමා,0,B,අනාගත මැතිවරණ කොමසාරිස්තුම
අනාගතය අතීතය හමුවු ඒ සුන්දර මොහොත,0,B,අනාගත අතීතය හමුවු ඒ සුන්දර මොහොත
අනාගතය අදයි!(ඩයලොග් විසින් අපේ මුදල් සූරා කා ප්‍රචාරය කෙරුන ලදී ),0,B,අනාගත අදයි ඩයලොග විස අපේ මුදල් සූරා කා ප්‍රචාර කෙරුන ලදී
අනාගතය වර්තමානය එකම තැනක...,0,B,අනාගත වර්තමාන එකම තැනක
අනාගතයෙන් කෝල් එකක්.,0,B,අනාගත කෝල් එකක්
අනාගතයෙන් වර්තමානයට කෝල් එකක් ඒ කියන්නෙ කාලය හරහ ගමන් කරලා,0,B,අනාගත වර්තමාන කෝල් එකක් ඒ කිය කාලය හරහ ගමන් කරලා
අනාගතෙ,0,B,අනාගත
අනාගතෙන් අතිතෙට ,0,B,අනාගත අතිතෙ
අනාගතෙන් ආව කොල් එක... රැට්ටට ෆෙස් ඇෆ් එක ඕනෙම නෑ...,0,B,අනාගත ආව කොල් එක රැට්ට ෆෙස් ඇෆ් එක ඕනෙම නෑ
අනාගතෙන් ඇමතුමක් ලැබුනු ඒ සුන්දර මොහොත ,0,B,අනාගත ඇමත ලැබු ඒ සුන්දර මොහොත
අනාගතෙන් කෝල් එකක් ,0,B,අනාගත කෝල් එකක්
අනාගතෙයි වර්තමානෙයි විඩියො කොල් එකක ️,0,B,අනාගතෙ වර්තමානෙ විඩිය කොල් එකක ️
අනාගතේ පේන කණ්නාඩියක් ,0,B,අනාගත පේන කණ්නාඩි
අනාගතේ බලුවා වගේ (කණ්නාඩියෙන්),0,B,අනාගත බලුවා වගේ කණ්නාඩි
අනාගතේට කෝල් එකක් අරගෙන ,0,B,අනාගත කෝල් එකක් අරගෙන
අනාගතේට ගිහිං තමන්ටම කතා කරලා . ,0,B,අනාගත ගිහිං තමන් කතා කරලා
අනාගතේට වර්තමානෙන් කෝල් එකක් ,0,B,අනාගත වර්තමාන කෝල් එකක්
අනාගතේයි...වර්තමානේයි වගේ ️️,0,B,අනාගතේ වර්තමානේ වගේ ️️
අනාත පුතුට සිය පියා හමුවූ ඒ සොදුරු මොහොත ,0,B,අනාත පුතුට සිය පියා හමුවූ ඒ සොදුර මොහොත
අනාරක්ෂිත ලිංගික හැසිරීම් නිසා මේවැනි දරු උපත් සිදු විය හැකිය ,0,B,අනාරක්ෂිත ලිංගික හැසිර නිසා මේ දරු උපත් සිදු විය හැකිය
අනි පලයන් යන්න සක්කිලි හුක්න්නි,1,B,අනි පලයන් යන්න සක්ක හුක්න්
අනිත් අය වගේ මමනම් ඔයාට බනින්නැ ඔයාට හොදයි කියලා හිතෙන දෙයක් කරන්න,0,B,අනිත් අය වගේ මමනම් ඔයාට බනින්නැ ඔයාට හොද කියලා හිතෙන දෙයක් කරන්න
අනිත් එකා කොච්චර කැතට හිටියත් තමන් හොදට ඉන්න 4ටො එකක් නම් ෆ්බී දාන එකෙක් හැම සෙට් එකකම ඉන්නවා ,0,B,අනිත් එකා කොච්චර කැතට හිටි තමන් හොදට ඉන්න ටො එකක් නම් ෆ්බී දාන එකෙක් හැම සෙට් එකකම ඉන්
අනිවා මල්ලි නියම කතාව,0,B,අනිවා මල්ලි නියම කතාව
අනිවා මාත් යන්න හිටියේ මෙ කරුමයක් නිසා තාම මෙහෙ,0,B,අනිවා මාත් යන්න හිටි මෙ කරුම නිසා තාම මෙහෙ
අනිවා ⁣මෙිකි වැසිකිළියක ජාතක වෙලා තියෙන්නෙ.,1,B,අනිවා ⁣මෙි වැසිකිළි ජාතක වෙලා තියෙ
අනිවා වතුර දාපං..හැමදාම....හිටවලා මදි..,0,B,අනිවා වතුර දාපං හැමදා හිටව මදි
අනිවාරයෙන් කොරොනා හැදිල මැරෙනව,1,B,අනිවාර කොරො හැදිල මැරෙන
අනිවාර්යයෙන්,0,B,අනිවාර්ය
අනිවාර්යයෙන් ,0,B,අනිවාර්ය
අනිවාර්යයෙන් ,0,B,අනිවාර්ය
අනිවාර්යයෙන් .මම දන්න කෙනෙකුත් ඉන්නවා .ඒනම් පිරිමි කෙනෙක් .මුහුද අවට තමයි .ඒත ඔය වගේ ජරා කටක් තියෙන කෙනෙක් ,0,B,අනිවාර්ය මම දන්න කෙනෙකු ඉන් ඒනම් පිරි කෙන මුහුද අවට තමයි ඒත ඔය වගේ ජරා කටක් තියෙන කෙන
අනිවාර්යයෙන් අපි ඉන්නෙත් ඒත් අපි ආදරෙයි අපේ රටට,0,B,අනිවාර්ය අපි ඉන්නෙ ඒත් අපි ආදරෙ අපේ රටට
අනිවාර්යයෙන් මුහුද අවට නූගත් සොයුරියක්.....මොකවත්ම නොකියා තෙරුවන් සරණයි කියන්නම්,0,B,අනිවාර්ය මුහුද අවට නූගත් සොයුරි මොකවත් නොකි තෙරු සරණයි කියන්න
අනිවාර්යයෙන් මේ වෙලේ මේවගේ බල්ලෝ බැදලා දාන්න ඔනා මුලු ලෝකෙම රටවල් ඇදිරිනිතිය දාලා තමන්ගේ ජනතාව රට බෙරගන්න හදනවා මු දෙසාපලනේ කරනවා,1,B,අනිවාර්ය මේ වෙලේ මේවගේ බල්ලෝ බැදලා දාන්න ඔනා මුලු ලෝකෙම රටවල් ඇදිරිනිත දාලා තම ජනතාව රට බෙරග හදනවා මු දෙසාපලන කරනවා
අනිවාර්යයෙන් වැල්ලේ හිටපු එකියක්,1,B,අනිවාර්ය වැල්ල හිටපු එ
අනිවාර්යයෙන් විය යුත්තේ එයයි! අගෙයි වෛද්‍යතුමියනි,0,B,අනිවාර්ය විය යුත්ත එයයි අගෙයි වෛද්‍යතුමි
අනිවාර්යයෙන් හිටවනවා.. අපේ වත්තෙ එවිත් බලපන්කෝ,0,B,අනිවාර්ය හිටව අපේ වත්තෙ එවිත් බලපන්ක
අනිවාර්යයෙන්ම,0,B,අනිවාර්යයෙන්
අනිවාර්යයෙන්ම ,0,B,අනිවාර්යයෙන්
අනිවාර්යයෙන්ම ඔබ නිවැරදියි. මම අපේ මේ පුංචි රටට ආදරය කරන කෙනෙක්. අන්තවාදය තුරන් කිරීමට ඔබ සියළු දෙනා සමග එක්ව කටයුතු කිරීමට සූදානම් බව සඳහන් කරමි. ,0,B,අනිවාර්යයෙන් ඔබ නිවැරදි මම අපේ මේ පුංචි රටට ආදරය කරන කෙන අන්තවාද තුරන් කිර ඔබ සියළු දෙනා සමග එක්ව කටයුත කිර සූදාන බව සඳහන් කරමි
අනිවාර්යයෙන්ම ඔය දෙන්නා වගේම,0,B,අනිවාර්යයෙන් ඔය දෙන් වගේම
අනිවාර්යයෙන්ම බඩු පොට් එකක ඉන්න එකියක් ..කොරොනා හන්දා මිනිස්සු enne ne ඒ හන්දා මොල තද වෙලා,1,B,අනිවාර්යයෙන් බඩු පොට් එකක ඉන්න එ කොරො හන්දා මිනිස්ස ඒ හන්දා මොල තද වෙලා
අනිවාර්යයෙන්ම බුදුසරණය් මැඩම්,0,B,අනිවාර්යයෙන් බුදුසරණය මැඩම්
අනිවාර්යයෙන්ම මෙිකි මළු ගෑණියෙක් ...,1,B,අනිවාර්යයෙන් මෙිකි මළු ගෑණි
අනිවාර්යයෙන්ම රැට්ටා,0,B,අනිවාර්යයෙන් රැට්ට
අනිවාර්යෙන්,0,B,අනිවාර්
අනිවාර්යෙන් තෝ ඵන්නත් ඵපා බලු වේසි...,1,B,අනිවාර් තෝ ඵන්න ඵපා බලු වේසි
අනිවාර්යෙන් සහොදරයා ...,0,B,අනිවාර් සහොදර
අනිවාර්යෙන්ම මේ වෙසි ඉස්කෝලේ ගිහිල්ලා නැ,1,B,අනිවාර්යෙන් මේ වෙසි ඉස්කෝල ගිහි නැ
අනුකම්පා කරන්න,0,B,අනුකම්ප කරන්න
අනුකම්පා කරන්න......පව්කාර කම.....,0,B,අනුකම්ප කරන්න පව්කාර කම
අනුකම්පා කරමු,0,B,අනුකම්ප කරමු
අනෙ අනෙ අනෙ ..මෙහෙම අම්මන්ඩ්ලා..ෆොස්..,1,B,අනෙ අනෙ අනෙ මෙහෙම අම්මන්ඩ් ෆොස්
අනෙ අම්මට හුකහ පට්ට වෙසි,1,B,අනෙ අම්මට හුකහ පට්ට වෙසි
අනෙ අම්මො තො වගෙ වෙස අවලන් බැල්ලියො කොහොමත් මගෙ උතුම් ලන්කා දෙඑරනෙ කොහොමත් වලලන්නෙ නැ වෙස හු.... තො කරයන්ට කියල හු.... ගෙන වලලියන් ඔහෙම එන්න එප මෙහෙ කනව තොව පුචගෙන බලු වෙසි,1,B,අනෙ අම්මො තො වගෙ වෙස අවලන් බැල්ලිය කොහොම මගෙ උතුම් ලන්කා දෙඑරන කොහොම වලල නැ වෙස හු තො කර කියල හු ගෙන වලල ඔහෙම එන්න එප මෙහෙ කනව තොව පුචගෙ බලු වෙසි
අනෙ උබ ඔය රටට වෙලා හැමනියන් . යකො ලන්කවට බනින අවජාතකයො,1,B,අනෙ උබ ඔය රටට වෙලා හැමන යකො ලන්ක බනින අවජාතකය
අනෙ උබෙ අමිමට හුකහන් හුත්තියෙ,1,B,අනෙ උබෙ අමිමට හුකහ හුත්ති
අනෙ ඒ එක්ක කෝල් එකක් ගන්න මටත් හීනයක් තියෙනවා අම්මපා,0,B,අනෙ ඒ එක්ක කෝල් එකක් ගන්න මටත් හීන තියෙ අම්මප
අනෙ ඔබ හැමනිය හූත්‍තියෙ,1,B,අනෙ ඔබ හැම හූත්‍ති
අනෙ ගොන් හුත්තියෙක් නොවි ඉදපන් ගොන් වෙසි යකෝ අජිත් රොහන කියන්නෙ උපන් රටට ආදරක්තියන මිනිස්සු තොපි මොන ගොන් වෙසියොද පට්ට බැල්ලි,1,B,අනෙ ගොන් හුත්ති නොවි ඉදපන් ගොන් වෙසි යකෝ අජිත් රොහන කිය උපන් රටට ආදරක්තිය මිනිස්ස තොපි මොන ගොන් වෙසියො පට්ට බැල්ලි
අනෙ තොගෙ අම්මට හුකාපිය.,1,B,අනෙ තොගෙ අම්මට හුක
අනෙ තෝපි වගෙ බඩු එන්නෙ මොකටද,1,B,අනෙ තෝපි වගෙ බඩු එන්නෙ මොකටද
අනෙ නිකන් පලයං.....,0,B,අනෙ නිකන් පලයං
අනෙ පකො අම්මා ට හුකහන් මට්ටයා,1,B,අනෙ පකො අම්මා ට හුකහ මට්ට
අනෙ පටිට බැල්ලියෙ සොමියට හුකාගෙන කරුමෙට ළමයි හදාා ගත්තට අපෙ ජාතිය පලි නැ බැල්ලියෙ තො බලපන් උබටත් කොරොනා හැදුන දාාට කොරයි බොට.තොපි ලංකාවෙ හැදුනෙ පැලේ නෑවෙ ඇලෙ නෙද පටිට බැල්ලියෙ.මුඩුක්කු වල හැමනිලා රට පැනපු ගොන් බඩුවක් කියලා පේනවා යකෝ හොදට.එන්න එපා අපේ ජාතියට ගරහන්න දේශද්‍රෝහි පටිට වෙිසියේ.,1,B,අනෙ පටිට බැල්ලි සොමි හුකාගෙ කරුමෙ ළමයි හදාා ගත්තට අපෙ ජාතිය පලි නැ බැල්ලි තො බලපන් උබටත් කොරො හැදුන දාාට කොරයි බොට තොපි ලංකා හැදුන පැලේ නෑවෙ ඇලෙ නෙද පටිට බැල්ලි මුඩුක් වල හැමන රට පැනපු ගොන් බඩු කියලා පේ යකෝ හොදට එන්න එපා අපේ ජාති ගරහ දේශද්‍රෝ පටිට වෙිසි
අනෙ පට්ට වේසි පදුරු ගානෙ හැමනිලා ත් අල්ලලා ලොකු එක දෙනවා...ලොකුද දන්නෙ නැහැ ..,1,B,අනෙ පට්ට වේසි පදුරු ගානෙ හැමන ත් අල්ල ලොකු එක දෙනවා ලොකුද දන්නෙ නැහැ
අනෙ පල පොන්නයා,1,B,අනෙ පල පොන්න
අනෙ පලයන් යන්න,0,B,අනෙ පලයන් යන්න
අනෙ බන් කියන්න ඔන එකාට කොල් එක්ක අරන් කියපිය. .ලේ කොප කරන්නැතුව...අනෙ මැරෙන්නෙ ආයුෂ නැති වුනාමලු....බුද්ධිය තරම හිගන්න පුළුවන්..,1,B,අනෙ බන් කිය ඔන එකාට කොල් එක්ක අරන් කිය ලේ කොප කරන්නැත අනෙ මැරෙ ආයුෂ නැති වුනාමල බුද්ධ තරම හිග පුළු
අනෙ බාල්ලි තො කටද කතා කරන්නෙ කට දාක්කාම වමනෙ යනවා.ගෝන් ගානි,1,B,අනෙ බාල්ලි තො කටද කතා කර කට දාක්කා වමනෙ යනවා ගෝන් ගානි
අනෙ බොගෙ අම්මට හැමිනියන්,1,B,අනෙ බොගෙ අම්මට හැමින
"අනෙ මි හරකො.බඩජහරි කමට කන්න.ඒලියට ගිහින් කොරොනා හදාගන්නද,බඩට කලින් ජිවිතය ගැන.හිතන්න ඔන වෙලාවක් මෙක,කැද බිල හරි ගෙවල් අැතුලට වෙලා ඉන්න ඔන,මෙ වගෙ.වෙලාවක වත් පාට පක්ෂ නොබලා රට.ජනතාව බේර ගන්න බලන්න,අනෙ මන්ද මෙ මිනිස්සු,",1,B,අනෙ මි හරකො බඩජහරි කමට කන්න ඒලියට ගිහ කොරො හදාගන්න බඩට කලින් ජිවිත ගැන හිත ඔන වෙලා මෙක කැද බිල හරි ගෙවල් අැතුල වෙලා ඉන්න ඔන මෙ වගෙ වෙලා වත් පාට පක්ෂ නොබ රට ජනතාව බේර ගන්න බලන්න අනෙ මන්ද මෙ මිනිස්ස
අනෙ ලොකු දෙයක් වෙසා ගෑනු එන්න ඔනම නෑ.අලකොලෙන් කාල පුක පිහිදපු උන් දැන් මුන් රටවල් වලට ගිහි ලොකු වෙලා.හිල් වෙන්න ඇති මෙච්චර කාලයක් ලොකු කරගන්න ඇත්තෙ.තොපි වගෙ උන් මේ රටෙන් දායාද උන එකටයි අපිට දුක.ටිශු වලින් පුකවල් පිහිදගෙම් මුන්ට දැන් අමුතු ගොන් පොශ් එකක් ඇවිත් අපො දැක්කා ගොඩක් රටවල් වලින් ආපු ගොන් පොශ්ලා මෙකෙ රැගුව හැටි අපි අපෙ දේ බලා ගන්නම් ඔයා එන්නම ඔන මෑ.වැඩක් නෑ අනේ ඔයා ආවට අවොත් ත්වත් ගෝලිය වසන්ගතයක් ඔවා ඇයො ඔහොම ඔවා.කැතයි ගොන් පොශ් නැව් ටික දැක්කාම මොකද්දෝ හිතෙනව අපිට.ාඇයි ඔවාල ඔහොම,1,B,අනෙ ලොකු දෙයක් වෙසා ගෑනු එන්න ඔනම නෑ අලකොල කාල පුක පිහිද උන් දැන් මුන් රටවල් වලට ගිහි ලොකු වෙලා හිල් වෙන්න ඇති මෙච්චර කාල ලොකු කරග ඇත්තෙ තොපි වගෙ උන් මේ රටෙන් දායාද උන එකටයි අපිට දුක ටිශු වලින් පුක පිහිදගෙ මුන්ට දැන් අමුතු ගොන් පොශ් එකක් ඇවිත් අපො දැක් ගොඩක් රටවල් වලින් ආපු ගොන් පොශ් මෙකෙ රැගුව හැටි අපි අපෙ දේ බලා ගන්න ඔයා එන්නම ඔන මෑ වැඩක් නෑ අනේ ඔයා ආවට අවොත් ත්වත් ගෝලිය වසන්ගත ඔවා ඇයො ඔහොම ඔවා කැතයි ගොන් පොශ් නැව් ටික දැක්කා මොකද්ද හිතෙන අපිට ාඇයි ඔවාල ඔහොම
අනෙ විසියෙ තොට ලන්කවෙ ඉන්න අය විතරද පෙන්නෙ,1,B,අනෙ විසි තොට ලන්ක ඉන්න අය විතරද පෙ
අනෙ ⁣වෙිසියේ තො ආවොත් ඉන්ඩනමි හමිබෙින්නැ...තෝව පෙති ගහලා හන්දියක් ගානේ එල්ලන්න ඔින.තෝ මැරැනාම මෙි මිනි ගේන්න ඔිනත් නැ .අරාබි කාරයන්ට පුකදීගන ඉන්න කැරි වෙීසි.තමන්ගෙ රටට කියන කතා...තොනේ සක්කිලි පටිට හුත්ති..තොට මෝල් ගහක් අරින්න ඔිනේ කටින් මතුවෙන්න.තු විතරක් පල්කඩ වෙිසි,1,B,අනෙ ⁣වෙිසි තො ආවොත් ඉන්ඩන හමිබෙින්නැ තෝව පෙති ගහලා හන්දි ගානේ එල්ල ඔින තෝ මැරැනා මෙි මිනි ගේන්න ඔිනත් නැ අරාබි කාර පුකදීග ඉන්න කැරි වෙීසි තමන් රටට කියන කතා තොනේ සක්ක පටිට හුත් තොට මෝල් ගහක් අරි ඔිනේ කටින් මතුවෙ තු විතර පල්කඩ වෙිසි
අනෙ හුකගනින් පර වෙසි,1,B,අනෙ හුකගන පර වෙසි
අනෙ හුකහං බන්,1,B,අනෙ හුකහං බන්
අනෙ හුකහන් කැරි බලු වේසි,1,B,අනෙ හුකහ කැරි බලු වේසි
අනෙ හුකෙ ඕක තොපෙ එවුන්ට කකියපන් අපිට එපා හරියන රටක් හොයාගනින්,1,B,අනෙ හුකෙ ඕක තොපෙ එව කකිය අපිට එපා හරියන රටක් හොයාගන
අනෙ හුතියේ තෙ මට අහුවුනනමි තෙ හෙළුවෙින් යවන්නෙ රට වටෙි,1,B,අනෙ හුති තෙ මට අහුවුනන තෙ හෙළුවෙ යව රට වටෙි
අනෙ හුත්ති තෙගෙ අම්මටත් තොටත් හොදට හුකනවද,1,B,අනෙ හුත් තෙගෙ අම්ම තොටත් හොදට හුකන
අනෙ හුත්තො පල යන්න..තෝ වගෙ උගත් ඉගෙන ගත්තු එකෙක් මේ වගෙ වෙලාවක මේ වගෙ ගොං බූරු කතාවක් කියයි කියලා මම නම් හිතුවෙ නෑ..මෙ අවස්ථාව වෙනුත් මෙත්න ඇවිත් දේශපාලන වාසි ගන්න කතාවක් කරලා පොර වෙන්න.ගොනො කන්නත් ජීවත් වෙලා ඉන්න ඕන..මේක මේ ගංවතුර නායායෑමක් වගෙ හදිසි ආපදවක් නෙවෙ ගොනෝ...අපි උන ජීවත් ව ඉන්න කාලෙ පලමුවතාවට මුහුන දුන්න ඉතා දරුනු වියසනයක් අනික .ලංකාව විතරක් නෙවෙ මුලු ලෝකයම..ගොං හරකා.,1,B,අනෙ හුත්ත පල යන්න තෝ වගෙ උගත් ඉගෙන ගත්තු එකෙක් මේ වගෙ වෙලා මේ වගෙ ගොං බූරු කතා කියයි කියලා මම නම් හිතු නෑ මෙ අවස්ථා වෙනු මෙත්න ඇවිත් දේශපාල වාසි ගන්න කතා කරලා පොර වෙන්න ගොනො කන්න ජීවත් වෙලා ඉන්න ඕන මේක මේ ගංවතුර නායායෑ වගෙ හදිසි ආපද නෙවෙ ගොනෝ අපි උන ජීවත් ව ඉන්න කාලෙ පලමුවතා මුහුන දුන්න ඉතා දරුනු වියසන අනික ලංකාව විතර නෙවෙ මුලු ලෝකයම ගොං හරකා
අනෙ හොදට හුකාගනින් වේසි එන්නැත්තන් පකද කියන්නේ වේසියො තොපි ඇවිත් කොටුවේ දෙන්න තමා වෙන්නෙ,1,B,අනෙ හොදට හුකාගන වේසි එන්නැත්ත පකද කිය වේසිය තොපි ඇවිත් කොට දෙන්න තමා වෙ
අනෙ.ගොන් ගානියෙ කතා කරන්න ඉගන්න ගනි උබ ගියා කියලා උබෙ ඔලුව ඉදිමො ගන්න එපා උබෙ විදියෙන් පෙනවා උබ කොයි වගෙ ගානියක්ද කියලා,1,B,අනෙ ගොන් ගානි කතා කරන්න ඉගන්න ගනි උබ ගියා කියලා උබෙ ඔලුව ඉදිමො ගන්න එපා උබෙ විදි පෙනවා උබ කොයි වගෙ ගානියක් කියලා
අනෙ.පට්ටකැරිවෙසියෙ.එකද.සතුන්වගෙ.මැරෙන්නෙ.උබනම්.එන්නඑපා.ලන්කාවට.පුකෙ.එරල.මරන්නෙ.වෙසි,1,B,අනෙ පට්ටකැරිවෙසි එකද සතුන් මැරෙ උබනම් එන්නඑප ලන්කා පුකෙ එරල මර වෙසි
අනෙ.පල.බැල්ලියෙ.නොවගෙ.ගැණු.අැස්.දෙකට.පේන්න.නැනිව.මකබැව්ලා.පල.වේසි,1,B,අනෙ පල බැල්ලි නො ගැණු අැස් දෙකට පේ නැනිව මකබැව් පල වේසි
අනෙකඇ,0,B,අනෙකඇ
අනෙපිස්සුගැහැගහන්නඑපො,0,B,අනෙපිස්සුගැහැගහන්නඑප
අනෙහ්හ් ️️️️,0,B,අනෙහ්හ ️️️️
අනේ ️,0,B,අනේ ️
අනේ ....කෝ. තෝ දන්න ....ක. (ප),1,B,අනේ කෝ තෝ දන්න ක ප
අනේ අක්කෙ මීලගට අපි ගොඩක් සංතෝස වෙන්නෙ උබ මැරිනා කියන ආරන්චියට,1,B,අනේ අක්කෙ මීලගට අපි ගොඩක් සංතෝස වෙ උබ මැරි කියන ආරන්චි
අනේ අක්කේ ඔයාගෙ මහත්තයා ජාතකයෙක්ද...,0,B,අනේ අක්කේ ඔයාගෙ මහත්ත ජාතකයෙක්
අනේ අපේ රජතුමා.. තිස්තුන් කෝටියක් දෙවි රැක වරණයි.,0,B,අනේ අපේ රජතුම තිස්ත කෝටි දෙවි රැක වරණයි
අනේ අපේ රජතුමා.. තිස්තුන් කෝටියක් දෙවි රැක වරණයි..,0,B,අනේ අපේ රජතුම තිස්ත කෝටි දෙවි රැක වරණයි
අනේ අම්මට හුකාපන් පට්ට හුත්ති,1,B,අනේ අම්මට හුක පට්ට හුත්
අනේ අම්මපා තොත් ලංකාවේ ඉපදුන එකියක් නේද බලපන් කතා කරන කැත හරියට මුඩුක්කුවක ඉන්න එකියක් වගේ තොපි වගේ උන්ව සමාජයක් ඉස්සරහ ගිහින් වතුරෙන් නවන්න ඕනෙ සක්කිලි ගැනියේ උබ ඇත්තට ම ලැජ්ජා වෙයන් උබ ඔය කතා කරන විදියට තුක් නොදකින් බැල්ලි,1,B,අනේ අම්මප තොත් ලංක ඉපදුන එ නේද බලපන් කතා කරන කැත හරියට මුඩුක්කු ඉන්න එ වගේ තොපි වගේ උන්ව සමාජ ඉස්සරහ ගිහ වතුර නවන්න ඕනෙ සක්ක ගැනි උබ ඇත්තට ම ලැජ්ජ වෙයන් උබ ඔය කතා කරන විදි තුක් නොද බැල්ලි
අනේ අම්මාට උකන්න පට්ට්ට හුත්තී තෝ වගේ පට්ට එක කිසි බඩු නිසා මම ආ මේ ලංකාවට හොඳක් වෙන්න ඇත්තේ තොපි වගේ පර හැත්ත මේ ලංකාවේ හිටියොත් කවදාවත් හරි යන්නේ නෑ තොපි වගේ පට්ට වේසියෝ ඔය වගේ හුත්තිගෙ පුතාලා ඉන්න රටක වෙලා ඉඳපන් ලංකාවට ආවොත් තොපි වගේ වේසියෝ තොටයි තොගේ අම්ම ටයි අම්මට හුකනවපට්ට බැල්ලි උපන් භූමියට ආ ගෞරව කරන අම්මට හ*** පට්ට්ට හුත්තී තොපි වගේ හ*** බැල්ලියෝ මේ රටෙන් ඈත් උන එක මට පමණක් නොව මේ ලංකාවේ පුද්ගලයන් එම හොඳ දෙයක් කරේ තොපි වගේ හුත්තිගෙ හුත්තිගේ දුවලට හුකල මරන්න ඕනේ අම්මට හැමනෙන්න බැරි පොන්න බැල්ලි ඔය කියන කතාව ට තොගේ කටට පනුවෝ ගහල මැරෙන්ට ඕන අම්මට හුකන්ඩ කැර හුත්තී මට මේකට මාර කේන්ති පට්ට හුත්තී තොට නං හොඳක් සිද්ධ වෙන්ට එපා මගේ රටට බහින එක ගැන මම හිටිය නං තොට පුකෙ කෑරලා මරන්නේ මම නං කියන්නෙ තොපිට හොඳක් සිද්ධ වෙන්න එප පට්ට්ට හුත්තී අවජාතක හැත්ත ..........................................,1,B,අනේ අම්ම උකන්න පට්ට් හුත්ත තෝ වගේ පට්ට එක කිසි බඩු නිසා මම ආ මේ ලංකා හොඳක් වෙන්න ඇත්තේ තොපි වගේ පර හැත්ත මේ ලංක හිටිය කවදා හරි යන්නේ නෑ තොපි වගේ පට්ට වේසි ඔය වගේ හුත්ති පුතා ඉන්න රටක වෙලා ඉඳපන් ලංකා ආවොත් තොපි වගේ වේසි තොටයි තොගේ අම්ම ටයි අම්මට හුකනවපට් බැල්ලි උපන් භූමි ආ ගෞරව කරන අම්මට හ පට්ට් හුත්ත තොපි වගේ හ බැල්ලි මේ රටෙන් ඈත් උන එක මට පමණක් නොව මේ ලංක පුද්ගල එම හොඳ දෙයක් කරේ තොපි වගේ හුත්ති හුත්ති දුවලට හුකල මරන්න ඕනේ අම්මට හැමනෙ බැරි පොන්න බැල්ලි ඔය කියන කතාව ට තොගේ කටට පනුවෝ ගහල මැරෙ ඕන අම්මට හුකන්ඩ කැර හුත්ත මට මේකට මාර කේන් පට්ට හුත්ත තොට නං හොඳක් සිද්ධ වෙන්ට එපා මගේ රටට බහින එක ගැන මම හිටිය නං තොට පුකෙ කෑරලා මර මම නං කිය තොපිට හොඳක් සිද්ධ වෙන්න එප පට්ට් හුත්ත අවජාතක හැත්ත
අනේ අම්මෝ මෙහෙම කටක් තෝ ම මැරුණත් අපේ පොලොවට නම් එපා අනිවා වේසාවියක් මේ ගෑනී ඒක නම් ශුවර් එයාට අවුරුදු 25ක පෙනුමලු අම්මෝ කොහොමද ඒක,1,B,අනේ අම්මෝ මෙහෙම කටක් තෝ ම මැරුණ අපේ පොලො නම් එපා අනිවා වේසාවි මේ ගෑනී ඒක නම් ශුවර් එයාට අවුරුද ක පෙනුමල අම්මෝ කොහොම ඒක
අනේ අර ඊයේ මැරිච්ච එක අරන් ගිහින් ගෙදර තියාගනිම්කෝ,1,B,අනේ අර ඊයේ මැර එක අරන් ගිහ ගෙදර තියාගනිම්ක
